gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000196735,HLA-DQA1,3,0.27093055395473986,2.679399532633626,0.8724978241949521,0.3105228992458814,0.356469571305163,1.089023856799812e-285,4.3636314722883026e-280,B
ENSG00000179344,HLA-DQB1,3,0.26421562786791997,2.563588621632858,0.8372497824194952,0.3155756303744699,0.29418483042916177,1.452556786852864e-235,5.820278840376478e-230,B
ENSG00000223865,HLA-DPB1,3,0.252275871404337,5.514548567348945,0.9512619669277633,0.26520125914326,0.3748970340572822,1.4465450838939348e-300,5.796190427556285e-295,B
ENSG00000112182,BACH2,3,0.24893588056388344,0.7434234770457478,0.4856396866840731,0.512593775569717,0.17896836404992697,1.8219767578739696e-143,7.300515110660367e-138,B
ENSG00000272398,CD24,3,0.2444812730792543,0.2932460506223798,0.2815491731940818,0.8683430688348167,0.13078767158690227,3.526924890586498e-105,1.4132105882588852e-99,B
ENSG00000136573,BLK,3,0.27142477405452775,0.647367959901579,0.5052219321148825,0.5372387000665846,0.1893672854339974,9.555709303113996e-152,3.8288962720833533e-146,B
ENSG00000042980,ADAM28,3,0.2760431136277706,0.850871065945827,0.5052219321148825,0.5463799096611687,0.18813255891928338,9.199246445111116e-151,3.686064456584463e-145,B
ENSG00000156738,MS4A1,3,0.7013105153826783,2.95086346813003,0.839425587467363,0.8354647819333305,0.5846910585027119,0,0,B
ENSG00000110848,CD69,3,0.23997807317581005,4.07641134125089,0.8020017406440383,0.2992238807151446,0.19288763699996486,1.498784754407818e-154,6.005510608131774e-149,B
ENSG00000133639,BTG1,3,0.24265463518516972,8.71609920151755,0.9852045256744996,0.2462987418973145,0.33738156425691074,2.6569075868913112e-270,1.0646016148066533e-264,B
ENSG00000247982,LINC00926,3,0.6580750861434825,1.8383591583698917,0.7819843342036553,0.8415451018128675,0.5109365047362068,0,0,B
