pt_cycle_day,partition_assignment,n_cells,load_norm_fac,raw_partition_counts,norm_cell_num,norm_partition_counts,norm_pct
15_1_plus1,Cycling,10,0.9926285414480588,103,9.926285414480589,99.00870862725256,10.025669006401259
17_1_minus7,Cycling,17,0.6928189541526293,103,11.777922220594698,99.00870862725256,11.895844702849478
17_1_plus1,Cycling,4,1.4043571852731591,103,5.6174287410926365,99.00870862725256,5.673671355760331
22_1_minus7,Cycling,20,0.9541809562235223,103,19.083619124470445,99.00870862725256,19.27468743816905
22_1_plus1,Cycling,19,0.9513022928399034,103,18.074743563958165,99.00870862725256,18.25571085065442
15_1_minus7,PC,2,1.338012729844413,36,2.676025459688826,33.094131203609344,8.086102769173076
15_1_plus1,PC,4,0.9926285414480588,36,3.970514165792235,33.094131203609344,11.99763831648555
17_1_minus7,PC,10,0.6928189541526293,36,6.928189541526293,33.094131203609344,20.93479807311178
17_1_plus1,PC,1,1.4043571852731591,36,1.4043571852731591,33.094131203609344,4.243523350508732
22_1_minus7,PC,14,0.9541809562235223,36,13.358533387129311,33.094131203609344,40.36526387395355
22_1_plus1,PC,5,0.9513022928399034,36,4.756511464199517,33.094131203609344,14.372673616767306
11_1_minus7,Plt,87,0.9159324167312161,311,79.68612025561579,322.1447414504675,24.73612323976681
11_1_plus1,Plt,137,1.112649964714185,311,152.43304516584334,322.1447414504675,47.31818513613118
15_1_minus7,Plt,2,1.338012729844413,311,2.676025459688826,322.1447414504675,0.8306904056977406
15_1_plus1,Plt,24,0.9926285414480588,311,23.823084994753412,322.1447414504675,7.3951494249104215
17_1_minus7,Plt,14,0.6928189541526293,311,9.699465358136809,322.1447414504675,3.0109028986363833
17_1_plus1,Plt,20,1.4043571852731591,311,28.087143705463184,322.1447414504675,8.718796271204017
22_1_minus7,Plt,19,0.9541809562235223,311,18.129438168246924,322.1447414504675,5.627730592968403
22_1_plus1,Plt,8,0.9513022928399034,311,7.610418342719227,322.1447414504675,2.3624220306850465
11_1_minus7,HSPC,12,0.9159324167312161,69,10.991189000774593,62.35028577397582,17.628129309011396
11_1_plus1,HSPC,7,1.112649964714185,69,7.788549752999295,62.35028577397582,12.491602334002664
15_1_plus1,HSPC,3,0.9926285414480588,69,2.9778856243441765,62.35028577397582,4.776057699461429
17_1_minus7,HSPC,30,0.6928189541526293,69,20.784568624578878,62.35028577397582,33.33516176641821
17_1_plus1,HSPC,8,1.4043571852731591,69,11.234857482185273,62.35028577397582,18.01893502607578
22_1_minus7,HSPC,4,0.9541809562235223,69,3.816723824894089,62.35028577397582,6.1214215420439
22_1_plus1,HSPC,5,0.9513022928399034,69,4.756511464199517,62.35028577397582,7.628692322986627
11_1_minus7,RBC,3,0.9159324167312161,165,2.7477972501936483,159.8546837276518,1.7189344635501174
17_1_minus7,RBC,78,0.6928189541526293,165,54.03987842390509,159.8546837276518,33.805627188236855
17_1_plus1,RBC,51,1.4043571852731591,165,71.62221644893111,159.8546837276518,44.804577994696466
22_1_minus7,RBC,18,0.9541809562235223,165,17.1752572120234,159.8546837276518,10.744294012232567
22_1_plus1,RBC,15,0.9513022928399034,165,14.269534392598551,159.8546837276518,8.926566341283996
